fromStopId,toStopId,routeId,orientation,averageSpeed,sampleCount
502302,511178,311,1,23,0807,100341
502400,502350,421,0,46,5418,3
515128,515190,353,1,20,7156,1785
513158,513159,283,0,17,0776,285
514175,514275,355,1,48,8342,4
517015,500056,373,0,22,6778,46034
517025,517027,371,1,39,2028,1
500112,500113,552,1,18,1229,159
501450,501500,150,1,30,8109,1
514199,514200,142,0,46,2677,6
514035,514036,251,0,51,6675,1
512014,512124,323,1,26,6413,5460
503002,502700,150,0,31,7256,2446
511265,502302,311,0,44,5493,6
501652,501852,431,1,25,1686,1491
511248,511134,318,1,38,9351,56
512161,512162,324,0,41,6228,207
514208,514535,142,1,36,1085,11
514367,514400,283,0,43,2833,6
515191,515192,353,0,11,5367,212
600050,500050,371,0,23,3194,20313
500113,500114,552,1,23,0875,605
519142,519021,272,0,18,5064,609
501200,501250,142,1,20,6875,8
502401,512206,427,0,25,7763,1028
515143,516230,2212,1,17,6214,11
517259,517072,370,1,30,8332,1
514002,514409,2212,0,18,6305,42
513144,513150,283,1,33,1878,63
511257,511021,318,0,40,9804,129
501351,501301,142,0,4,9301,5
514379,514415,251,0,17,7646,4
604019,504019,431,0,17,2961,12
501700,501750,437,1,29,3422,1238
519075,519122,302,1,31,3964,1
600167,600161,385,1,31,5889,12
517067,517068,376,1,22,2549,5005
514147,514212,347,0,18,9073,7
511334,511132,318,1,42,1789,65
513134,513132,332,1,23,9387,229
502400,502350,305,1,22,6746,12317
500159,501052,140,1,36,7832,173
501502,501552,272,1,40,6043,5
515192,515193,353,0,26,1590,65
512112,512046,2211,1,29,9491,103
500055,500058,557,1,28,7265,4932
517066,517067,376,1,53,5763,6
512021,512022,142,1,26,1715,6082
502651,502701,251,1,19,5923,213
502250,502300,131,1,22,5768,1573
511136,511344,318,0,35,3352,99
501750,501853,437,1,25,4031,22410
601854,501854,217,0,18,3580,20813
501854,501950,427,1,35,1764,7
514154,514155,283,0,27,7075,109
501250,501300,441,1,19,1614,1359
502701,503005,452,1,31,8602,2
514278,515061,2141,0,44,8497,15
514122,514123,355,1,23,6048,5
511021,511252,318,0,24,3421,289
513264,513263,272,0,21,0721,10
516168,516169,251,1,21,3337,3091
512187,512032,322,1,26,0263,7
519284,501351,2211,1,29,4937,1
500200,500250,131,1,35,1644,432
516230,516195,2211,1,30,2177,18
513051,513052,333,1,23,4765,30982
501750,501852,421,0,18,4980,1615
514467,514194,142,0,26,0084,828
517046,517167,373,0,39,3781,4
502300,502201,441,0,42,5496,29
501502,502351,2211,0,16,5151,23
514303,514304,353,0,40,9124,30
500301,500251,131,0,24,8497,1503
500900,500952,272,0,19,4522,475
501405,501452,272,1,23,2983,14524
602600,602601,452,0,20,7352,325
514428,514201,347,1,38,1070,6
513251,513256,2212,0,38,0732,5
513007,513008,283,0,28,1591,292
512185,512186,323,1,33,3842,1095
514124,514181,355,1,30,6950,1
514013,513103,2212,0,32,5701,7
514029,514030,251,0,40,5077,1
512001,513003,427,1,15,5822,97
500110,512061,322,1,34,8356,10
502700,502650,150,0,32,8079,294
513215,513138,332,1,33,3104,243
514374,514376,283,0,28,6375,3
516230,516195,251,1,24,1748,1086
514010,514399,2212,1,23,9680,22
513186,513187,332,1,18,6747,4788
501351,501301,140,0,43,9868,10
514209,514429,142,1,36,1784,23
517084,517028,371,0,32,3881,334
501852,501900,131,1,35,3449,16
514388,514019,2242,0,33,7220,11
502000,502102,217,1,32,4696,413
514379,514415,2141,1,23,6730,32
501855,501803,427,0,7,0565,5
515158,514432,352,1,21,7236,66
514155,514156,283,0,38,9945,134
512169,512170,324,1,36,3008,366
502150,502200,421,0,35,2881,114
513048,513172,722,1,24,9610,18255
512020,512021,142,1,33,7418,287
501950,502000,131,1,32,0736,180
516074,516076,272,1,40,5226,26
500163,600163,140,0,27,5801,873
517006,517213,271,0,46,6984,2
513062,513111,2212,0,27,8944,16
514173,514276,355,0,27,2245,6
516177,516056,272,1,36,6387,6
513105,513107,2212,0,31,1998,14
502600,602600,452,0,24,8566,17480
502700,502650,283,1,12,8508,186
513001,513058,336,1,22,6396,116
501951,501901,131,0,21,4602,750
514401,514157,283,1,15,1709,93
514211,514147,142,1,29,3026,12
513003,519135,427,1,29,0976,1
519174,519121,2211,1,27,5241,7
500053,500054,557,1,22,8039,16963
502301,514001,251,0,25,1365,66417
514373,514431,283,1,42,8112,833
504009,500200,131,1,36,2070,11
513270,512040,272,1,24,5517,8
518132,518133,282,1,15,3080,15732
501854,502000,217,1,32,6121,319
514098,514099,283,1,31,1371,62
514304,514305,353,0,20,3271,90
601855,501855,271,1,22,4234,9204
512206,512021,427,0,21,8896,336
519166,502400,305,0,24,7687,8206
502351,512112,2211,1,27,2662,28
518157,518158,282,0,43,6603,2
516233,517178,271,1,47,8764,2
